"","trial_no","condition","block_no","id","closeness"
"520",11,"decay",4,"saulin_01_vp_18",65
"521",11,"decay",4,"saulin_01_vp_19",36
"522",11,"decay",4,"saulin_01_vp_20",30
"523",11,"decay",4,"saulin_01_vp_21",30
"524",11,"decay",4,"saulin_01_vp_22",55
"525",11,"decay",4,"saulin_01_vp_23",30
"526",11,"decay",4,"saulin_01_vp_24",25
"527",11,"decay",4,"saulin_01_vp_25",50
"528",11,"decay",4,"saulin_01_vp_26",50
"529",11,"decay",4,"saulin_01_vp_27",60
"530",11,"decay",4,"saulin_01_vp_29",50
"531",11,"decay",4,"saulin_01_vp_30",90
"532",11,"decay",4,"saulin_01_vp_31",20
"533",11,"decay",4,"saulin_01_vp_32",35
"534",11,"decay",4,"saulin_01_vp_33",45
"535",11,"decay",4,"saulin_01_vp_34",65
"536",11,"decay",4,"saulin_01_vp_35",56
"537",11,"decay",4,"saulin_01_vp_36",90
"538",11,"decay",4,"saulin_01_vp_37",60
"539",11,"decay",4,"saulin_01_vp_38",30
"540",11,"decay",4,"saulin_01_vp_39",50
"541",11,"decay",4,"saulin_01_vp_40",85
"542",11,"decay",4,"saulin_01_vp_41",30
"543",11,"decay",4,"saulin_01_vp_42",65
"544",11,"decay",4,"saulin_01_vp_43",45
"545",11,"decay",4,"saulin_01_vp_44",40
"546",11,"decay",4,"saulin_01_vp_45",40
"547",11,"decay",4,"saulin_01_vp_46",80
"548",11,"decay",4,"saulin_01_vp_47",45
"549",11,"decay",4,"saulin_01_vp_48",25
"550",11,"decay",4,"saulin_01_vp_49",70
"551",11,"decay",4,"saulin_01_vp_50",60
"552",11,"decay",4,"saulin_01_vp_51",100
"553",12,"control",2,"saulin_01_vp_01",30
"554",12,"control",2,"saulin_01_vp_02",60
"555",12,"control",2,"saulin_01_vp_03",30
"556",12,"control",2,"saulin_01_vp_04",50
"557",12,"control",2,"saulin_01_vp_05",60
"558",12,"control",2,"saulin_01_vp_06",40
"559",12,"control",2,"saulin_01_vp_10",75
"560",12,"control",2,"saulin_01_vp_11",25
"561",12,"control",2,"saulin_01_vp_12",75
"562",12,"control",2,"saulin_01_vp_14",65
"563",12,"control",2,"saulin_01_vp_15",50
"564",12,"control",2,"saulin_01_vp_16",86
"565",12,"control",2,"saulin_01_vp_17",80
"566",12,"control",2,"saulin_01_vp_18",61
"567",12,"control",2,"saulin_01_vp_19",48
"568",12,"control",2,"saulin_01_vp_20",35
