"","trial_no","condition","block_no","id","closeness"
"426",4,"empathy_decay",4,"md_as_45",62
"427",4,"empathy_decay",4,"md_as_46",84
"428",4,"empathy_decay",4,"md_as_51",60
"429",4,"empathy_decay",4,"md_as_56",71
"430",4,"empathy_decay",4,"md_as_57",53
"431",4,"empathy_decay",4,"md_as_58",69
"432",4,"empathy_decay",4,"md_as_59",17
"433",5,"empathy_control",2,"md_as_01",43
"434",5,"empathy_control",2,"md_as_02",59
"435",5,"empathy_control",2,"md_as_04",20
"436",5,"empathy_control",2,"md_as_05",41
"437",5,"empathy_control",2,"md_as_06",53
"438",5,"empathy_control",2,"md_as_07",63
"439",5,"empathy_control",2,"md_as_08",42
"440",5,"empathy_control",2,"md_as_09",56
"441",5,"empathy_control",2,"md_as_10",15
"442",5,"empathy_control",2,"md_as_11",65
"443",5,"empathy_control",2,"md_as_23",15
"444",5,"empathy_control",2,"md_as_24",25
"445",5,"empathy_control",2,"md_as_25",44
"446",5,"empathy_control",2,"md_as_26",46
"447",5,"empathy_control",2,"md_as_27",26
"448",5,"empathy_control",2,"md_as_28",34
"449",5,"empathy_control",2,"md_as_29",54
"450",5,"empathy_control",2,"md_as_39",16
"451",5,"empathy_control",2,"md_as_43",27
"452",5,"empathy_control",2,"md_as_44",43
"453",5,"empathy_control",2,"md_as_45",53
"454",5,"empathy_control",2,"md_as_46",76
"455",5,"empathy_control",2,"md_as_51",53
"456",5,"empathy_control",2,"md_as_56",44
"457",5,"empathy_control",2,"md_as_57",55
"458",5,"empathy_control",2,"md_as_58",48
"459",5,"empathy_control",2,"md_as_59",14
"460",5,"empathy_control",4,"md_as_01",40
"461",5,"empathy_control",4,"md_as_02",65
"462",5,"empathy_control",4,"md_as_04",28
"463",5,"empathy_control",4,"md_as_05",63
"464",5,"empathy_control",4,"md_as_06",47
"465",5,"empathy_control",4,"md_as_07",55
"466",5,"empathy_control",4,"md_as_08",60
"467",5,"empathy_control",4,"md_as_09",77
"468",5,"empathy_control",4,"md_as_10",40
"469",5,"empathy_control",4,"md_as_11",71
"470",5,"empathy_control",4,"md_as_23",13
"471",5,"empathy_control",4,"md_as_24",16
"472",5,"empathy_control",4,"md_as_25",61
"473",5,"empathy_control",4,"md_as_26",66
"474",5,"empathy_control",4,"md_as_27",47
"475",5,"empathy_control",4,"md_as_28",57
"476",5,"empathy_control",4,"md_as_29",45
"477",5,"empathy_control",4,"md_as_39",21
"478",5,"empathy_control",4,"md_as_43",28
"479",5,"empathy_control",4,"md_as_44",41
"480",5,"empathy_control",4,"md_as_45",59
"481",5,"empathy_control",4,"md_as_46",72
"482",5,"empathy_control",4,"md_as_51",56
"483",5,"empathy_control",4,"md_as_56",35
"484",5,"empathy_control",4,"md_as_57",60
"485",5,"empathy_control",4,"md_as_58",53
"486",5,"empathy_control",4,"md_as_59",15
"487",5,"empathy_decay",2,"md_as_01",41
"488",5,"empathy_decay",2,"md_as_02",61
"489",5,"empathy_decay",2,"md_as_04",26
"490",5,"empathy_decay",2,"md_as_05",34
