"","condition","block_no","trial_type","id","choice_val.mean"
"216","decay","2","1","saulin_01_vp_37",54.8
"217","decay","2","1","saulin_01_vp_38",71.1
"218","decay","2","1","saulin_01_vp_39",15.45
"219","decay","2","1","saulin_01_vp_40",29.2
"220","decay","2","1","saulin_01_vp_41",46.6
"221","decay","2","1","saulin_01_vp_42",39.5
"222","decay","2","1","saulin_01_vp_43",31.75
"223","decay","2","1","saulin_01_vp_44",30.2
"224","decay","2","1","saulin_01_vp_45",35.35
"225","decay","2","1","saulin_01_vp_46",76.65
"226","decay","2","1","saulin_01_vp_47",20.25
"227","decay","2","1","saulin_01_vp_48",67.35
"228","decay","2","1","saulin_01_vp_49",48.7
"229","decay","2","1","saulin_01_vp_50",35.25
"230","decay","2","1","saulin_01_vp_51",31.65
"231","decay","2","2","saulin_01_vp_01",37.6
"232","decay","2","2","saulin_01_vp_02",50
"233","decay","2","2","saulin_01_vp_03",76
"234","decay","2","2","saulin_01_vp_04",58.4
"235","decay","2","2","saulin_01_vp_05",70
"236","decay","2","2","saulin_01_vp_06",40.4
"237","decay","2","2","saulin_01_vp_10",52
"238","decay","2","2","saulin_01_vp_11",37
"239","decay","2","2","saulin_01_vp_12",75
"240","decay","2","2","saulin_01_vp_14",39.4
"241","decay","2","2","saulin_01_vp_15",28.8
"242","decay","2","2","saulin_01_vp_16",36.8
"243","decay","2","2","saulin_01_vp_17",73.2
"244","decay","2","2","saulin_01_vp_18",45.8
"245","decay","2","2","saulin_01_vp_19",17.8
"246","decay","2","2","saulin_01_vp_20",51.6
"247","decay","2","2","saulin_01_vp_21",76
"248","decay","2","2","saulin_01_vp_22",71
"249","decay","2","2","saulin_01_vp_23",74.8
"250","decay","2","2","saulin_01_vp_24",54.8
"251","decay","2","2","saulin_01_vp_25",45
"252","decay","2","2","saulin_01_vp_26",70
"253","decay","2","2","saulin_01_vp_27",51.4
"254","decay","2","2","saulin_01_vp_29",57
"255","decay","2","2","saulin_01_vp_30",49
"256","decay","2","2","saulin_01_vp_31",89.4
"257","decay","2","2","saulin_01_vp_32",81.6
"258","decay","2","2","saulin_01_vp_33",80.8
"259","decay","2","2","saulin_01_vp_34",62.8
"260","decay","2","2","saulin_01_vp_35",85
"261","decay","2","2","saulin_01_vp_36",39
"262","decay","2","2","saulin_01_vp_37",53.2
"263","decay","2","2","saulin_01_vp_38",72.4
"264","decay","2","2","saulin_01_vp_39",36
"265","decay","2","2","saulin_01_vp_40",34.8
"266","decay","2","2","saulin_01_vp_41",75
"267","decay","2","2","saulin_01_vp_42",43.2
"268","decay","2","2","saulin_01_vp_43",53.4
"269","decay","2","2","saulin_01_vp_44",36
"270","decay","2","2","saulin_01_vp_45",60.8
"271","decay","2","2","saulin_01_vp_46",81.2
"272","decay","2","2","saulin_01_vp_47",29.4
"273","decay","2","2","saulin_01_vp_48",82
"274","decay","2","2","saulin_01_vp_49",47.6
"275","decay","2","2","saulin_01_vp_50",41.4
"276","decay","2","2","saulin_01_vp_51",47
"277","decay","4","1","saulin_01_vp_01",24.4
"278","decay","4","1","saulin_01_vp_02",50
"279","decay","4","1","saulin_01_vp_03",48
"280","decay","4","1","saulin_01_vp_04",47.2
"281","decay","4","1","saulin_01_vp_05",49.6
"282","decay","4","1","saulin_01_vp_06",15.8
"283","decay","4","1","saulin_01_vp_10",36.4
"284","decay","4","1","saulin_01_vp_11",8.4
"285","decay","4","1","saulin_01_vp_12",68.8
"286","decay","4","1","saulin_01_vp_14",52.2
"287","decay","4","1","saulin_01_vp_15",6
"288","decay","4","1","saulin_01_vp_16",23.6
"289","decay","4","1","saulin_01_vp_17",21.4
"290","decay","4","1","saulin_01_vp_18",46.8
"291","decay","4","1","saulin_01_vp_19",13.2
"292","decay","4","1","saulin_01_vp_20",44.8
"293","decay","4","1","saulin_01_vp_21",16
"294","decay","4","1","saulin_01_vp_22",21
"295","decay","4","1","saulin_01_vp_23",21
"296","decay","4","1","saulin_01_vp_24",50
"297","decay","4","1","saulin_01_vp_25",27
"298","decay","4","1","saulin_01_vp_26",41.4
"299","decay","4","1","saulin_01_vp_27",45
"300","decay","4","1","saulin_01_vp_29",49.6
"301","decay","4","1","saulin_01_vp_30",44.8
"302","decay","4","1","saulin_01_vp_31",66.8
"303","decay","4","1","saulin_01_vp_32",42
"304","decay","4","1","saulin_01_vp_33",83
"305","decay","4","1","saulin_01_vp_34",25.6
"306","decay","4","1","saulin_01_vp_35",23.4
"307","decay","4","1","saulin_01_vp_36",4.8
"308","decay","4","1","saulin_01_vp_37",50.6
"309","decay","4","1","saulin_01_vp_38",73
"310","decay","4","1","saulin_01_vp_39",38
"311","decay","4","1","saulin_01_vp_40",29
"312","decay","4","1","saulin_01_vp_41",53
"313","decay","4","1","saulin_01_vp_42",35
