"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","closeness","betas_PM_wtreatMINcon_TPJ","betas_PM_wtreatMINcon_IFG","facet","score"
"78","treatment","block 1",14,"1","3037",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"79","treatment","block 1",15,"1","3988",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"80","treatment","block 1",15,"1","3988",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"81","treatment","block 1",16,"1","4275",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"82","treatment","block 1",16,"1","4275",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"83","treatment","block 1",17,"2","2823",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"84","treatment","block 1",17,"2","2823",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"85","treatment","block 1",18,"1","5047",-0.00495165886113449,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"86","treatment","block 1",18,"1","5047",-0.00495165886113449,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"87","treatment","block 1",19,"1","4867",0.0821520916597754,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"88","treatment","block 1",19,"1","4867",0.0821520916597754,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"89","treatment","block 1",20,"1","4562",0.0821520916597754,"saulin_01_vp_02",-0.104812407419115,0.62036,0.52128,"EC",0.71871279328083
"90","treatment","block 1",20,"1","4562",0.0821520916597754,"saulin_01_vp_02",-0.104812407419115,0.62036,0.52128,"PT",1.02068217730876
"91","treatment","block 1",21,"2","1876",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"92","treatment","block 1",21,"2","1876",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"93","treatment","block 1",22,"1","3900",-0.0920554093820444,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"94","treatment","block 1",22,"1","3900",-0.0920554093820444,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"95","treatment","block 1",23,"1","2642",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"96","treatment","block 1",23,"1","2642",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"97","treatment","block 1",24,"1","3510",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"98","treatment","block 1",24,"1","3510",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"99","treatment","block 1",25,"1","4155",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"100","treatment","block 1",25,"1","4155",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"101","treatment","block 1",1,"1","5089",0.12570396692023,"saulin_01_vp_03",-1.06879736018914,-0.15446,-0.21233,"EC",-0.448138565222164
"102","treatment","block 1",1,"1","5089",0.12570396692023,"saulin_01_vp_03",-1.06879736018914,-0.15446,-0.21233,"PT",-0.908826596233823
"103","treatment","block 1",2,"2","2200",-0.745333538288869,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"EC",-0.448138565222164
"104","treatment","block 1",2,"2","2200",-0.745333538288869,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"PT",-0.908826596233823
"105","treatment","block 1",3,"1","1678",-1.0066447898516,"saulin_01_vp_03",-0.29760939797312,-0.15446,-0.21233,"EC",-0.448138565222164
"106","treatment","block 1",3,"1","1678",-1.0066447898516,"saulin_01_vp_03",-0.29760939797312,-0.15446,-0.21233,"PT",-0.908826596233823
"107","treatment","block 1",4,"1","4450",-0.527574161986594,"saulin_01_vp_03",0.907371792989413,-0.15446,-0.21233,"EC",-0.448138565222164
"108","treatment","block 1",4,"1","4450",-0.527574161986594,"saulin_01_vp_03",0.907371792989413,-0.15446,-0.21233,"PT",-0.908826596233823
"109","treatment","block 1",5,"1","3919",-0.875989164070233,"saulin_01_vp_03",0.521777811881402,-0.15446,-0.21233,"EC",-0.448138565222164
"110","treatment","block 1",5,"1","3919",-0.875989164070233,"saulin_01_vp_03",0.521777811881402,-0.15446,-0.21233,"PT",-0.908826596233823
"111","treatment","block 1",6,"1","2725",-0.309814785684319,"saulin_01_vp_03",0.184383078411893,-0.15446,-0.21233,"EC",-0.448138565222164
"112","treatment","block 1",6,"1","2725",-0.309814785684319,"saulin_01_vp_03",0.184383078411893,-0.15446,-0.21233,"PT",-0.908826596233823
"113","treatment","block 1",7,"1","4275",-0.963092914591143,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"EC",-0.448138565222164
"114","treatment","block 1",7,"1","4275",-0.963092914591143,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"PT",-0.908826596233823
"115","treatment","block 1",8,"1","5011",-1.39861166719569,"saulin_01_vp_03",0.377180068965898,-0.15446,-0.21233,"EC",-0.448138565222164
"116","treatment","block 1",8,"1","5011",-1.39861166719569,"saulin_01_vp_03",0.377180068965898,-0.15446,-0.21233,"PT",-0.908826596233823
"117","treatment","block 1",9,"2","3625",2.0855383536407,"saulin_01_vp_03",-0.779601874358133,-0.15446,-0.21233,"EC",-0.448138565222164
"118","treatment","block 1",9,"2","3625",2.0855383536407,"saulin_01_vp_03",-0.779601874358133,-0.15446,-0.21233,"PT",-0.908826596233823
"119","treatment","block 1",10,"1","1575",1.2145008484316,"saulin_01_vp_03",-0.683203379081131,-0.15446,-0.21233,"EC",-0.448138565222164
"120","treatment","block 1",10,"1","1575",1.2145008484316,"saulin_01_vp_03",-0.683203379081131,-0.15446,-0.21233,"PT",-0.908826596233823
"121","treatment","block 1",11,"2","6727",2.0855383536407,"saulin_01_vp_03",-1.30979359838165,-0.15446,-0.21233,"EC",-0.448138565222164
"122","treatment","block 1",11,"2","6727",2.0855383536407,"saulin_01_vp_03",-1.30979359838165,-0.15446,-0.21233,"PT",-0.908826596233823
"123","treatment","block 1",12,"1","5018",1.2145008484316,"saulin_01_vp_03",-1.02059811255064,-0.15446,-0.21233,"EC",-0.448138565222164
"124","treatment","block 1",12,"1","5018",1.2145008484316,"saulin_01_vp_03",-1.02059811255064,-0.15446,-0.21233,"PT",-0.908826596233823
"125","treatment","block 1",13,"1","4983",0.21280771744114,"saulin_01_vp_03",-0.29760939797312,-0.15446,-0.21233,"EC",-0.448138565222164
"126","treatment","block 1",13,"1","4983",0.21280771744114,"saulin_01_vp_03",-0.29760939797312,-0.15446,-0.21233,"PT",-0.908826596233823
"127","treatment","block 1",14,"1","4843",0.343463343222505,"saulin_01_vp_03",-0.779601874358133,-0.15446,-0.21233,"EC",-0.448138565222164
"128","treatment","block 1",14,"1","4843",0.343463343222505,"saulin_01_vp_03",-0.779601874358133,-0.15446,-0.21233,"PT",-0.908826596233823
"129","treatment","block 1",15,"1","4338",1.43226022473388,"saulin_01_vp_03",-1.50259058893565,-0.15446,-0.21233,"EC",-0.448138565222164
"130","treatment","block 1",15,"1","4338",1.43226022473388,"saulin_01_vp_03",-1.50259058893565,-0.15446,-0.21233,"PT",-0.908826596233823
"131","treatment","block 1",16,"1","3231",0.21280771744114,"saulin_01_vp_03",-0.29760939797312,-0.15446,-0.21233,"EC",-0.448138565222164
"132","treatment","block 1",16,"1","3231",0.21280771744114,"saulin_01_vp_03",-0.29760939797312,-0.15446,-0.21233,"PT",-0.908826596233823
"133","treatment","block 1",17,"2","7955",1.43226022473388,"saulin_01_vp_03",-0.779601874358133,-0.15446,-0.21233,"EC",-0.448138565222164
"134","treatment","block 1",17,"2","7955",1.43226022473388,"saulin_01_vp_03",-0.779601874358133,-0.15446,-0.21233,"PT",-0.908826596233823
"135","treatment","block 1",18,"1","4992",-0.309814785684319,"saulin_01_vp_03",0.184383078411893,-0.15446,-0.21233,"EC",-0.448138565222164
"136","treatment","block 1",18,"1","4992",-0.309814785684319,"saulin_01_vp_03",0.184383078411893,-0.15446,-0.21233,"PT",-0.908826596233823
"137","treatment","block 1",19,"1","3484",-1.39861166719569,"saulin_01_vp_03",0.184383078411893,-0.15446,-0.21233,"EC",-0.448138565222164
"138","treatment","block 1",19,"1","3484",-1.39861166719569,"saulin_01_vp_03",0.184383078411893,-0.15446,-0.21233,"PT",-0.908826596233823
"139","treatment","block 1",20,"1","4328",-0.963092914591143,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"EC",-0.448138565222164
"140","treatment","block 1",20,"1","4328",-0.963092914591143,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"PT",-0.908826596233823
"141","treatment","block 1",21,"2","4900",1.43226022473388,"saulin_01_vp_03",0.859172545350911,-0.15446,-0.21233,"EC",-0.448138565222164
"142","treatment","block 1",21,"2","4900",1.43226022473388,"saulin_01_vp_03",0.859172545350911,-0.15446,-0.21233,"PT",-0.908826596233823
"143","treatment","block 1",22,"1","2801",-1.39861166719569,"saulin_01_vp_03",1.14836803118192,-0.15446,-0.21233,"EC",-0.448138565222164
"144","treatment","block 1",22,"1","2801",-1.39861166719569,"saulin_01_vp_03",1.14836803118192,-0.15446,-0.21233,"PT",-0.908826596233823
"145","treatment","block 1",23,"1","1746",-1.65992291875842,"saulin_01_vp_03",1.14836803118192,-0.15446,-0.21233,"EC",-0.448138565222164
"146","treatment","block 1",23,"1","1746",-1.65992291875842,"saulin_01_vp_03",1.14836803118192,-0.15446,-0.21233,"PT",-0.908826596233823
"147","treatment","block 1",24,"1","2717",-2.05188979610252,"saulin_01_vp_03",1.63036050756693,-0.15446,-0.21233,"EC",-0.448138565222164
"148","treatment","block 1",24,"1","2717",-2.05188979610252,"saulin_01_vp_03",1.63036050756693,-0.15446,-0.21233,"PT",-0.908826596233823
"149","treatment","block 1",25,"1","5513",-1.74702666927933,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"EC",-0.448138565222164
"150","treatment","block 1",25,"1","5513",-1.74702666927933,"saulin_01_vp_03",0.666375554796906,-0.15446,-0.21233,"PT",-0.908826596233823
"151","treatment","block 1",1,"1","3246",0.12570396692023,"saulin_01_vp_04",0.184383078411893,-0.042495,-0.26212,"EC",0.329762340446499
"152","treatment","block 1",1,"1","3246",0.12570396692023,"saulin_01_vp_04",0.184383078411893,-0.042495,-0.26212,"PT",0.0559277905374663
"153","treatment","block 1",2,"2","2583",0.778982095827055,"saulin_01_vp_04",0.4253793166044,-0.042495,-0.26212,"EC",0.329762340446499
"154","treatment","block 1",2,"2","2583",0.778982095827055,"saulin_01_vp_04",0.4253793166044,-0.042495,-0.26212,"PT",0.0559277905374663
"155","treatment","block 1",3,"1","3867",0.12570396692023,"saulin_01_vp_04",0.521777811881402,-0.042495,-0.26212,"EC",0.329762340446499
"156","treatment","block 1",3,"1","3867",0.12570396692023,"saulin_01_vp_04",0.521777811881402,-0.042495,-0.26212,"PT",0.0559277905374663
"157","treatment","block 1",4,"1","3734",-0.0920554093820444,"saulin_01_vp_04",0.377180068965898,-0.042495,-0.26212,"EC",0.329762340446499
"158","treatment","block 1",4,"1","3734",-0.0920554093820444,"saulin_01_vp_04",0.377180068965898,-0.042495,-0.26212,"PT",0.0559277905374663
"159","treatment","block 1",5,"1","3292",0.12570396692023,"saulin_01_vp_04",0.184383078411893,-0.042495,-0.26212,"EC",0.329762340446499
"160","treatment","block 1",5,"1","3292",0.12570396692023,"saulin_01_vp_04",0.184383078411893,-0.042495,-0.26212,"PT",0.0559277905374663
"161","treatment","block 1",6,"1","5700",0.21280771744114,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"EC",0.329762340446499
"162","treatment","block 1",6,"1","5700",0.21280771744114,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"PT",0.0559277905374663
"163","treatment","block 1",7,"1","2430",0.12570396692023,"saulin_01_vp_04",1.00377028826642,-0.042495,-0.26212,"EC",0.329762340446499
"164","treatment","block 1",7,"1","2430",0.12570396692023,"saulin_01_vp_04",1.00377028826642,-0.042495,-0.26212,"PT",0.0559277905374663
"165","treatment","block 1",8,"1","2384",-0.0920554093820444,"saulin_01_vp_04",0.618176307158405,-0.042495,-0.26212,"EC",0.329762340446499
"166","treatment","block 1",8,"1","2384",-0.0920554093820444,"saulin_01_vp_04",0.618176307158405,-0.042495,-0.26212,"PT",0.0559277905374663
"167","treatment","block 1",9,"2","1768",0.343463343222505,"saulin_01_vp_04",0.907371792989413,-0.042495,-0.26212,"EC",0.329762340446499
"168","treatment","block 1",9,"2","1768",0.343463343222505,"saulin_01_vp_04",0.907371792989413,-0.042495,-0.26212,"PT",0.0559277905374663
"169","treatment","block 1",10,"1","3775",0.12570396692023,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"EC",0.329762340446499
"170","treatment","block 1",10,"1","3775",0.12570396692023,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"PT",0.0559277905374663
"171","treatment","block 1",11,"2","3315",0.343463343222505,"saulin_01_vp_04",0.4253793166044,-0.042495,-0.26212,"EC",0.329762340446499
"172","treatment","block 1",11,"2","3315",0.343463343222505,"saulin_01_vp_04",0.4253793166044,-0.042495,-0.26212,"PT",0.0559277905374663
"173","treatment","block 1",12,"1","2241",-0.0920554093820444,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"EC",0.329762340446499
"174","treatment","block 1",12,"1","2241",-0.0920554093820444,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"PT",0.0559277905374663
"175","treatment","block 1",13,"1","4089",-0.0920554093820444,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"EC",0.329762340446499
"176","treatment","block 1",13,"1","4089",-0.0920554093820444,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"PT",0.0559277905374663
"177","treatment","block 1",14,"1","4409",0.12570396692023,"saulin_01_vp_04",1.00377028826642,-0.042495,-0.26212,"EC",0.329762340446499
"178","treatment","block 1",14,"1","4409",0.12570396692023,"saulin_01_vp_04",1.00377028826642,-0.042495,-0.26212,"PT",0.0559277905374663
"179","treatment","block 1",15,"1","2992",-0.353366660944774,"saulin_01_vp_04",0.618176307158405,-0.042495,-0.26212,"EC",0.329762340446499
"180","treatment","block 1",15,"1","2992",-0.353366660944774,"saulin_01_vp_04",0.618176307158405,-0.042495,-0.26212,"PT",0.0559277905374663
"181","treatment","block 1",16,"1","1383",-0.745333538288869,"saulin_01_vp_04",0.907371792989413,-0.042495,-0.26212,"EC",0.329762340446499
"182","treatment","block 1",16,"1","1383",-0.745333538288869,"saulin_01_vp_04",0.907371792989413,-0.042495,-0.26212,"PT",0.0559277905374663
"183","treatment","block 1",17,"2","4475",0.430567093743415,"saulin_01_vp_04",1.14836803118192,-0.042495,-0.26212,"EC",0.329762340446499
"184","treatment","block 1",17,"2","4475",0.430567093743415,"saulin_01_vp_04",1.14836803118192,-0.042495,-0.26212,"PT",0.0559277905374663
"185","treatment","block 1",18,"1","6261",0.12570396692023,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"EC",0.329762340446499
"186","treatment","block 1",18,"1","6261",0.12570396692023,"saulin_01_vp_04",0.666375554796906,-0.042495,-0.26212,"PT",0.0559277905374663
"187","treatment","block 1",19,"1","1701",-0.527574161986594,"saulin_01_vp_04",1.63036050756693,-0.042495,-0.26212,"EC",0.329762340446499
"188","treatment","block 1",19,"1","1701",-0.527574161986594,"saulin_01_vp_04",1.63036050756693,-0.042495,-0.26212,"PT",0.0559277905374663
"189","treatment","block 1",20,"1","2872",-1.0066447898516,"saulin_01_vp_04",1.14836803118192,-0.042495,-0.26212,"EC",0.329762340446499
"190","treatment","block 1",20,"1","2872",-1.0066447898516,"saulin_01_vp_04",1.14836803118192,-0.042495,-0.26212,"PT",0.0559277905374663
