"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","EC","PT","sample","closeness"
"139","control","block 2",14,"2","4163",-0.553426168644577,"md_as_02",-0.498189001454062,16,"behavior",1.25215211710264
"140","control","block 2",15,"1","4512",-1.12428829915181,"md_as_02",-0.498189001454062,16,"behavior",0.416822569242098
"141","control","block 2",16,"2","2460",-0.553426168644577,"md_as_02",-0.498189001454062,16,"behavior",0.927301737379094
"142","control","block 2",17,"1","3864",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.416822569242098
"143","control","block 2",18,"1","5049",-1.2765182006204,"md_as_02",-0.498189001454062,16,"behavior",1.06652332868918
"144","control","block 2",19,"2","2578",-0.553426168644577,"md_as_02",-0.498189001454062,16,"behavior",1.25215211710264
"145","control","block 2",20,"2","4093",-0.47731121791028,"md_as_02",-0.498189001454062,16,"behavior",0.463229766345461
"146","control","block 2",21,"1","4091",-0.781771020847469,"md_as_02",-0.498189001454062,16,"behavior",0.463229766345461
"147","control","block 2",22,"2","4284",-0.629541119378875,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"148","control","block 2",23,"1","3471",-1.08623082378466,"md_as_02",-0.498189001454062,16,"behavior",0.416822569242098
"149","control","block 2",24,"2","3410",-0.553426168644577,"md_as_02",-0.498189001454062,16,"behavior",1.02011613158582
"150","control","block 2",25,"2","4248",-0.895943446948915,"md_as_02",-0.498189001454062,16,"behavior",0.324008175035371
"151","treatment","block 1",1,"1","3600",-0.857885971581767,"md_as_02",-0.498189001454062,16,"behavior",-0.000842204688172226
"152","treatment","block 1",2,"2","3719",-0.0586789888716444,"md_as_02",-0.498189001454062,16,"behavior",0.324008175035371
"153","treatment","block 1",3,"1","3806",-0.515368693277429,"md_as_02",-0.498189001454062,16,"behavior",0.0455649924151911
"154","treatment","block 1",4,"1","2441",-0.819828496214618,"md_as_02",-0.498189001454062,16,"behavior",0.509636963448824
"155","treatment","block 1",5,"1","4033",-0.819828496214618,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"156","treatment","block 1",6,"1","3658",-1.01011587305036,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"157","treatment","block 1",7,"1","3297",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"158","treatment","block 1",8,"1","3333",-1.08623082378466,"md_as_02",-0.498189001454062,16,"behavior",0.695265751862277
