"","condition","block_no","trial_no","trial_type","rt","closeness","id","emotion_rating","closeness","pos_PNR"
"1176","control","block 1",17,"1",3389,52,"md_as_13",-0.140934354239404,-0.714895093783914,-0.374870528173274
"1183","control","block 1",18,"1",3968,68,"md_as_13",0.495258342013705,-0.929501924098624,-0.374870528173274
"1190","control","block 1",19,"2",2938,25,"md_as_13",-1.21450952916653,-0.41444553134332,-0.374870528173274
"1197","control","block 1",20,"2",4920,33,"md_as_13",-0.896413181039972,-0.886580558035682,-0.374870528173274
"1204","control","block 1",21,"1",2485,51,"md_as_13",-0.180696397755224,-0.886580558035682,-0.374870528173274
"1211","control","block 1",22,"2",2020,23,"md_as_13",-1.29403361619817,-0.113995968902725,-0.374870528173274
"1218","control","block 1",23,"1",2607,34,"md_as_13",-0.856651137524152,-0.457366897406262,-0.374870528173274
"1225","control","block 1",24,"2",1964,15,"md_as_13",-1.61212996432472,-0.500288263469204,-0.374870528173274
"1232","control","block 1",25,"2",4430,16,"md_as_13",-1.5723679208089,-1.35871558472804,-0.374870528173274
"1240","control","block 2",1,"1",5052,64,"md_as_13",0.336210167950428,-0.071074602839783,-0.374870528173274
"1247","control","block 2",2,"2",3496,55,"md_as_13",-0.0216482236919461,0.186453593537869,-0.374870528173274
"1254","control","block 2",3,"1",4548,59,"md_as_13",0.137399950371331,-0.071074602839783,-0.374870528173274
"1261","control","block 2",4,"2",4054,44,"md_as_13",-0.459030702365959,-0.071074602839783,-0.374870528173274
"1268","control","block 2",5,"1",3328,57,"md_as_13",0.0578758633396926,-0.199838701028609,-0.374870528173274
"1275","control","block 2",6,"2",3347,46,"md_as_13",-0.37950661533432,0.0147681292861011,-0.374870528173274
"1282","control","block 2",7,"1",2065,67,"md_as_13",0.455496298497886,-0.156917334965667,-0.374870528173274
"1289","control","block 2",8,"2",4425,44,"md_as_13",-0.459030702365959,0.229374959600811,-0.374870528173274
"1296","control","block 2",9,"1",3548,47,"md_as_13",-0.339744571818501,-0.285681433154493,-0.374870528173274
"1303","control","block 2",10,"2",3799,49,"md_as_13",-0.260220484786862,0.186453593537869,-0.374870528173274
"1310","control","block 2",11,"1",3741,51,"md_as_13",-0.180696397755224,-0.371524165280378,-0.374870528173274
"1317","control","block 2",12,"1",3325,59,"md_as_13",0.137399950371331,-0.242760067091551,-0.374870528173274
"1324","control","block 2",13,"1",4719,66,"md_as_13",0.415734254982067,-0.028153236776841,-0.374870528173274
"1331","control","block 2",14,"2",3362,41,"md_as_13",-0.578316832913417,0.40106042385258,-0.374870528173274
"1338","control","block 2",15,"1",2866,63,"md_as_13",0.296448124434609,0.0147681292861011,-0.374870528173274
"1345","control","block 2",16,"2",3347,43,"md_as_13",-0.498792745881778,0.529824522041406,-0.374870528173274
"1352","control","block 2",17,"1",3885,52,"md_as_13",-0.140934354239404,0.486903155978464,-0.374870528173274
"1359","control","block 2",18,"1",2717,66,"md_as_13",0.415734254982067,0.61566725416729,-0.374870528173274
"1366","control","block 2",19,"2",4174,37,"md_as_13",-0.737365006976694,0.744431352356116,-0.374870528173274
"1373","control","block 2",20,"2",2623,21,"md_as_13",-1.3735577032298,0.486903155978464,-0.374870528173274
"1380","control","block 2",21,"1",6002,41,"md_as_13",-0.578316832913417,0.100610861411985,-0.374870528173274
"1387","control","block 2",22,"2",1441,21,"md_as_13",-1.3735577032298,0.186453593537869,-0.374870528173274
"1394","control","block 2",23,"1",3482,54,"md_as_13",-0.0614102672077654,-0.156917334965667,-0.374870528173274
"1401","control","block 2",24,"2",2089,37,"md_as_13",-0.737365006976694,0.529824522041406,-0.374870528173274
"1408","control","block 2",25,"2",3041,34,"md_as_13",-0.856651137524152,0.0147681292861011,-0.374870528173274
"1416","treatment","block 1",1,"1",2866,79,"md_as_14",0.932640820687718,-1.05826602228745,0.913320923185796
"1423","treatment","block 1",2,"2",4304,74,"md_as_14",0.733830603108622,-0.757816459846856,0.913320923185796
"1430","treatment","block 1",3,"1",1674,90,"md_as_14",1.37002329936173,-1.10118738835039,0.913320923185796
"1437","treatment","block 1",4,"1",3625,96,"md_as_14",1.60859556045665,-0.886580558035682,0.913320923185796
"1444","treatment","block 1",5,"1",4588,82,"md_as_14",1.05192695123518,-0.62905236165803,0.913320923185796
"1451","treatment","block 1",6,"1",4542,90,"md_as_14",1.37002329936173,-0.328602799217435,0.913320923185796
"1458","treatment","block 1",7,"1",4330,84,"md_as_14",1.13145103826682,0.0147681292861011,0.913320923185796
"1465","treatment","block 1",8,"1",2933,82,"md_as_14",1.05192695123518,-0.113995968902725,0.913320923185796
"1472","treatment","block 1",9,"2",2469,78,"md_as_14",0.892878777171899,-0.156917334965667,0.913320923185796
"1479","treatment","block 1",10,"1",2177,90,"md_as_14",1.37002329936173,-0.328602799217435,0.913320923185796
"1486","treatment","block 1",11,"2",5038,70,"md_as_14",0.574782429045344,-0.457366897406262,0.913320923185796
"1493","treatment","block 1",12,"1",4337,66,"md_as_14",0.415734254982067,0.315217691726696,0.913320923185796
"1500","treatment","block 1",13,"1",5020,88,"md_as_14",1.29049921233009,0.186453593537869,0.913320923185796
"1507","treatment","block 1",14,"1",1824,81,"md_as_14",1.01216490771936,0.358139057789638,0.913320923185796
"1514","treatment","block 1",15,"1",3510,77,"md_as_14",0.85311673365608,0.0147681292861011,0.913320923185796
"1521","treatment","block 1",16,"1",3228,79,"md_as_14",0.932640820687718,-0.071074602839783,0.913320923185796
"1528","treatment","block 1",17,"2",3217,94,"md_as_14",1.52907147342501,0.143532227474927,0.913320923185796
"1535","treatment","block 1",18,"1",3562,72,"md_as_14",0.654306516076983,-1.3157942186651,0.913320923185796
"1542","treatment","block 1",19,"1",2545,78,"md_as_14",0.892878777171899,-0.757816459846856,0.913320923185796
"1549","treatment","block 1",20,"1",2910,86,"md_as_14",1.21097512529845,0.0576894953490432,0.913320923185796
"1556","treatment","block 1",21,"2",2341,80,"md_as_14",0.972402864203538,0.229374959600811,0.913320923185796
"1563","treatment","block 1",22,"1",2503,84,"md_as_14",1.13145103826682,0.229374959600811,0.913320923185796
"1570","treatment","block 1",23,"1",1517,91,"md_as_14",1.40978534287755,0.143532227474927,0.913320923185796
"1577","treatment","block 1",24,"1",3000,90,"md_as_14",1.37002329936173,0.100610861411985,0.913320923185796
"1584","treatment","block 1",25,"1",1263,82,"md_as_14",1.05192695123518,0.186453593537869,0.913320923185796
"1592","treatment","block 2",1,"2",1248,80,"md_as_14",0.972402864203538,-0.328602799217435,0.913320923185796
"1599","treatment","block 2",2,"1",2463,75,"md_as_14",0.773592646624441,-1.22995148653922,0.913320923185796
"1606","treatment","block 2",3,"2",3964,93,"md_as_14",1.48930942990919,-0.242760067091551,0.913320923185796
"1613","treatment","block 2",4,"2",3098,73,"md_as_14",0.694068559592802,-0.285681433154493,0.913320923185796
"1620","treatment","block 2",5,"2",2343,87,"md_as_14",1.25073716881427,-1.6162437811057,0.913320923185796
"1627","treatment","block 2",6,"2",1819,68,"md_as_14",0.495258342013705,-1.83085061142041,0.913320923185796
"1634","treatment","block 2",7,"2",3381,53,"md_as_14",-0.101172310723585,-2.04545744173512,0.913320923185796
"1641","treatment","block 2",8,"2",1834,71,"md_as_14",0.614544472561164,-2.04545744173512,0.913320923185796
