"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss","sample"
"353",1,2,"20","1491",1,"md_as_02","empathy","treatment",340,"lab"
"354",1,2,"21","2644",1,"md_as_02","empathy","treatment",120,"lab"
"355",1,2,"22","2267",1,"md_as_02","empathy","treatment",220,"lab"
"356",1,2,"23","2059",0,"md_as_02","empathy","treatment",40,"lab"
"357",1,2,"24","1791",1,"md_as_02","empathy","treatment",360,"lab"
"358",1,2,"25","2178",1,"md_as_02","empathy","treatment",240,"lab"
"359",1,2,"26","1751",1,"md_as_02","empathy","treatment",360,"lab"
"360",1,2,"27","1754",0,"md_as_02","empathy","treatment",20,"lab"
"361",1,2,"28","3043",1,"md_as_02","empathy","treatment",180,"lab"
"362",1,2,"29","1298",1,"md_as_02","empathy","treatment",220,"lab"
"363",1,2,"30","1494",1,"md_as_02","empathy","treatment",320,"lab"
"364",1,2,"31","1270",1,"md_as_02","empathy","treatment",280,"lab"
"365",1,2,"32","1402",0,"md_as_02","empathy","treatment",20,"lab"
"366",1,2,"33","3298",0,"md_as_02","empathy","treatment",40,"lab"
"367",1,2,"34","2365",1,"md_as_02","empathy","treatment",380,"lab"
"368",1,3,"1","1868",1,"md_as_02","empathy","treatment",40,"lab"
"369",1,3,"2","1724",1,"md_as_02","empathy","treatment",300,"lab"
"370",1,3,"3","2776",0,"md_as_02","empathy","treatment",20,"lab"
"371",1,3,"4","2060",1,"md_as_02","empathy","treatment",240,"lab"
"372",1,3,"5","1490",1,"md_as_02","empathy","treatment",380,"lab"
"373",1,3,"6","2564",0,"md_as_02","empathy","treatment",100,"lab"
"374",1,3,"7","1320",1,"md_as_02","empathy","treatment",240,"lab"
"375",1,3,"8","2432",0,"md_as_02","empathy","treatment",20,"lab"
"376",1,3,"9","2582",1,"md_as_02","empathy","treatment",120,"lab"
"377",1,3,"10","1193",1,"md_as_02","empathy","treatment",360,"lab"
"378",1,3,"11","1870",1,"md_as_02","empathy","treatment",220,"lab"
"379",1,3,"12","2861",1,"md_as_02","empathy","treatment",220,"lab"
"380",1,3,"13","1306",1,"md_as_02","empathy","treatment",340,"lab"
"381",1,3,"14","1574",1,"md_as_02","empathy","treatment",380,"lab"
"382",1,3,"15","1901",0,"md_as_02","empathy","treatment",60,"lab"
"383",1,3,"16","1096",1,"md_as_02","empathy","treatment",360,"lab"
"384",1,3,"17","2135",0,"md_as_02","empathy","treatment",380,"lab"
"385",1,3,"18","1200",1,"md_as_02","empathy","treatment",320,"lab"
