"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss"
"329",1,1,23,2235,0,"md_as_14","reciprocity","control",180
"330",1,1,24,1770,0,"md_as_14","reciprocity","control",360
"331",1,1,25,1304,1,"md_as_14","reciprocity","control",120
"332",1,1,26,1741,1,"md_as_14","reciprocity","control",340
"333",1,1,27,2019,0,"md_as_14","reciprocity","control",20
"334",1,1,28,2295,0,"md_as_14","reciprocity","control",100
"335",1,1,29,2331,0,"md_as_14","reciprocity","control",40
"336",1,1,30,892,1,"md_as_14","reciprocity","control",380
"337",1,1,31,1666,1,"md_as_14","reciprocity","control",380
"338",1,1,32,2407,0,"md_as_14","reciprocity","control",300
"339",1,1,33,1084,1,"md_as_14","reciprocity","control",320
"340",1,1,34,2013,0,"md_as_14","reciprocity","control",240
"341",1,2,1,1662,0,"md_as_14","reciprocity","control",120
"342",1,2,2,1384,1,"md_as_14","reciprocity","control",180
"343",1,2,3,906,1,"md_as_14","reciprocity","control",220
"344",1,2,4,1242,1,"md_as_14","reciprocity","control",280
"345",1,2,5,2327,0,"md_as_14","reciprocity","control",100
"346",1,2,6,1871,0,"md_as_14","reciprocity","control",160
"347",1,2,7,2435,1,"md_as_14","reciprocity","control",280
"348",1,2,8,1833,1,"md_as_14","reciprocity","control",320
"349",1,2,9,1162,1,"md_as_14","reciprocity","control",300
"350",1,2,10,746,1,"md_as_14","reciprocity","control",240
"351",1,2,11,1534,0,"md_as_14","reciprocity","control",40
"352",1,2,12,1302,1,"md_as_14","reciprocity","control",220
"353",1,2,13,1237,1,"md_as_14","reciprocity","control",340
"354",1,2,14,1212,1,"md_as_14","reciprocity","control",60
"355",1,2,15,1263,1,"md_as_14","reciprocity","control",360
"356",1,2,16,866,0,"md_as_14","reciprocity","control",160
"357",1,2,17,1837,1,"md_as_14","reciprocity","control",360
"358",1,2,18,1897,1,"md_as_14","reciprocity","control",360
"359",1,2,19,1221,0,"md_as_14","reciprocity","control",380
"360",1,2,20,1195,1,"md_as_14","reciprocity","control",380
"361",1,2,21,1921,0,"md_as_14","reciprocity","control",20
"362",1,2,22,1921,0,"md_as_14","reciprocity","control",60
"363",1,2,23,1844,0,"md_as_14","reciprocity","control",180
"364",1,2,24,2297,1,"md_as_14","reciprocity","control",360
"365",1,2,25,2284,0,"md_as_14","reciprocity","control",120
"366",1,2,26,2128,1,"md_as_14","reciprocity","control",340
"367",1,2,27,1949,0,"md_as_14","reciprocity","control",20
"368",1,2,28,2398,0,"md_as_14","reciprocity","control",100
"369",1,2,29,2142,0,"md_as_14","reciprocity","control",40
