"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_gain"
"284",1,3,12,1256,1,"md_as_13","reciprocity","decay",360
"285",1,3,13,1108,0,"md_as_13","reciprocity","decay",380
"286",1,3,14,1763,1,"md_as_13","reciprocity","decay",180
"287",1,3,15,1036,1,"md_as_13","reciprocity","decay",380
"288",1,3,16,1657,0,"md_as_13","reciprocity","decay",60
"289",1,3,17,1256,1,"md_as_13","reciprocity","decay",300
"290",1,3,18,1682,1,"md_as_13","reciprocity","decay",380
"291",1,3,19,2005,0,"md_as_13","reciprocity","decay",20
"292",1,3,20,1919,1,"md_as_13","reciprocity","decay",340
"293",1,3,21,1839,1,"md_as_13","reciprocity","decay",220
"294",1,3,22,2057,0,"md_as_13","reciprocity","decay",160
"295",1,3,23,1924,1,"md_as_13","reciprocity","decay",360
"296",1,3,24,2455,0,"md_as_13","reciprocity","decay",100
"297",1,3,25,1779,0,"md_as_13","reciprocity","decay",40
"298",1,3,26,1277,1,"md_as_13","reciprocity","decay",340
"299",1,3,27,1398,1,"md_as_13","reciprocity","decay",220
"300",1,3,28,1441,1,"md_as_13","reciprocity","decay",380
"301",1,3,29,1635,1,"md_as_13","reciprocity","decay",280
"302",1,3,30,1770,1,"md_as_13","reciprocity","decay",320
"303",1,3,31,1785,0,"md_as_13","reciprocity","decay",120
"304",1,3,32,1956,1,"md_as_13","reciprocity","decay",360
"305",1,3,33,1393,1,"md_as_13","reciprocity","decay",360
"306",1,3,34,1273,1,"md_as_13","reciprocity","decay",240
"307",1,1,1,1616,0,"md_as_13","reciprocity","control",300
"308",1,1,2,1321,1,"md_as_13","reciprocity","control",360
"309",1,1,3,1362,0,"md_as_13","reciprocity","control",240
"310",1,1,4,2140,1,"md_as_13","reciprocity","control",220
"311",1,1,5,1314,1,"md_as_13","reciprocity","control",380
"312",1,1,6,1861,0,"md_as_13","reciprocity","control",40
"313",1,1,7,1892,1,"md_as_13","reciprocity","control",60
"314",1,1,8,1228,1,"md_as_13","reciprocity","control",180
"315",1,1,9,1801,0,"md_as_13","reciprocity","control",60
"316",1,1,10,1500,1,"md_as_13","reciprocity","control",340
"317",1,1,11,1004,1,"md_as_13","reciprocity","control",20
"318",1,1,12,1058,1,"md_as_13","reciprocity","control",120
"319",1,1,13,1704,1,"md_as_13","reciprocity","control",360
"320",1,1,14,1925,1,"md_as_13","reciprocity","control",180
"321",1,1,15,1661,1,"md_as_13","reciprocity","control",380
"322",1,1,16,1224,0,"md_as_13","reciprocity","control",380
"323",1,1,17,2256,0,"md_as_13","reciprocity","control",220
"324",1,1,18,1602,1,"md_as_13","reciprocity","control",20
"325",1,1,19,1468,0,"md_as_13","reciprocity","control",120
"326",1,1,20,2102,0,"md_as_13","reciprocity","control",240
"327",1,1,21,1449,1,"md_as_13","reciprocity","control",280
"328",1,1,22,1153,1,"md_as_13","reciprocity","control",380
"329",1,1,23,1856,0,"md_as_13","reciprocity","control",100
"330",1,1,24,2122,1,"md_as_13","reciprocity","control",160
"331",1,1,25,2587,0,"md_as_13","reciprocity","control",160
"332",1,1,26,1909,1,"md_as_13","reciprocity","control",280
"333",1,1,27,1569,1,"md_as_13","reciprocity","control",340
"334",1,1,28,1828,1,"md_as_13","reciprocity","control",320
"335",1,1,29,1607,0,"md_as_13","reciprocity","control",320
"336",1,1,30,1614,1,"md_as_13","reciprocity","control",100
"337",1,1,31,1221,1,"md_as_13","reciprocity","control",360
"338",1,1,32,1996,1,"md_as_13","reciprocity","control",300
"339",1,1,33,1879,0,"md_as_13","reciprocity","control",40
"340",1,1,34,1807,1,"md_as_13","reciprocity","control",360
"341",1,2,1,1705,1,"md_as_13","reciprocity","control",300
"342",1,2,2,1831,1,"md_as_13","reciprocity","control",360
"343",1,2,3,1384,1,"md_as_13","reciprocity","control",240
"344",1,2,4,1629,1,"md_as_13","reciprocity","control",220
"345",1,2,5,1032,1,"md_as_13","reciprocity","control",380
"346",1,2,6,1904,0,"md_as_13","reciprocity","control",40
"347",1,2,7,1297,1,"md_as_13","reciprocity","control",60
"348",1,2,8,1462,1,"md_as_13","reciprocity","control",180
"349",1,2,9,1407,0,"md_as_13","reciprocity","control",60
"350",1,2,10,2216,1,"md_as_13","reciprocity","control",340
"351",1,2,11,1766,1,"md_as_13","reciprocity","control",20
"352",1,2,12,1849,0,"md_as_13","reciprocity","control",120
"353",1,2,13,1542,1,"md_as_13","reciprocity","control",360
"354",1,2,14,1482,0,"md_as_13","reciprocity","control",180
"355",1,2,15,1246,1,"md_as_13","reciprocity","control",380
"356",1,2,16,1332,0,"md_as_13","reciprocity","control",380
"357",1,2,17,1525,1,"md_as_13","reciprocity","control",220
"358",1,2,18,1991,0,"md_as_13","reciprocity","control",20
"359",1,2,19,1913,0,"md_as_13","reciprocity","control",120
"360",1,2,20,2071,0,"md_as_13","reciprocity","control",240
"361",1,2,21,1549,1,"md_as_13","reciprocity","control",280
"362",1,2,22,1427,1,"md_as_13","reciprocity","control",380
"363",1,2,23,1835,0,"md_as_13","reciprocity","control",100
"364",1,2,24,1940,1,"md_as_13","reciprocity","control",160
"365",1,2,25,2037,1,"md_as_13","reciprocity","control",160
"366",1,2,26,1499,1,"md_as_13","reciprocity","control",280
"367",1,2,27,1554,1,"md_as_13","reciprocity","control",340
"368",1,2,28,1723,1,"md_as_13","reciprocity","control",320
"369",1,2,29,1556,1,"md_as_13","reciprocity","control",320
"370",1,2,30,2430,1,"md_as_13","reciprocity","control",100
"371",1,2,31,2145,1,"md_as_13","reciprocity","control",360
"372",1,2,32,2130,1,"md_as_13","reciprocity","control",300
"373",1,2,33,1377,1,"md_as_13","reciprocity","control",40
"374",1,2,34,1161,1,"md_as_13","reciprocity","control",360
"375",1,3,1,1431,0,"md_as_13","reciprocity","control",100
"376",1,3,2,1156,0,"md_as_13","reciprocity","control",300
"377",1,3,3,1995,1,"md_as_13","reciprocity","control",120
"378",1,3,4,1113,1,"md_as_13","reciprocity","control",180
"379",1,3,5,1511,0,"md_as_13","reciprocity","control",300
"380",1,3,6,1694,1,"md_as_13","reciprocity","control",280
"381",1,3,7,1544,0,"md_as_13","reciprocity","control",40
"382",1,3,8,1734,1,"md_as_13","reciprocity","control",360
"383",1,3,9,1597,0,"md_as_13","reciprocity","control",60
"384",1,3,10,1548,0,"md_as_13","reciprocity","control",380
"385",1,3,11,1919,0,"md_as_13","reciprocity","control",220
"386",1,3,12,1167,1,"md_as_13","reciprocity","control",380
"387",1,3,13,1798,0,"md_as_13","reciprocity","control",40
"388",1,3,14,1962,1,"md_as_13","reciprocity","control",360
"389",1,3,15,1313,1,"md_as_13","reciprocity","control",380
"390",1,3,16,1486,1,"md_as_13","reciprocity","control",360
"391",1,3,17,2233,0,"md_as_13","reciprocity","control",20
"392",1,3,18,1733,1,"md_as_13","reciprocity","control",320
"393",1,3,19,1887,1,"md_as_13","reciprocity","control",280
"394",1,3,20,2015,0,"md_as_13","reciprocity","control",20
"395",1,3,21,1524,1,"md_as_13","reciprocity","control",240
"396",1,3,22,1785,1,"md_as_13","reciprocity","control",120
"397",1,3,23,1203,0,"md_as_13","reciprocity","control",160
"398",1,3,24,1581,1,"md_as_13","reciprocity","control",100
"399",1,3,25,1617,1,"md_as_13","reciprocity","control",380
"400",1,3,26,1649,1,"md_as_13","reciprocity","control",360
"401",1,3,27,1580,1,"md_as_13","reciprocity","control",220
"402",1,3,28,2128,0,"md_as_13","reciprocity","control",60
"403",1,3,29,1558,1,"md_as_13","reciprocity","control",240
"404",1,3,30,1950,0,"md_as_13","reciprocity","control",340
